Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
Dil Bechara,7.9,101,2020,"Comedy, Drama, Romance"
Manbiki kazoku,7.9,121,2018,"Crime, Drama"
Marriage Story,7.9,137,2019,"Comedy, Drama, Romance"
Call Me by Your Name,7.9,132,2017,"Drama, Romance"
"I, Daniel Blake",7.9,100,2016,Drama
Isle of Dogs,7.9,101,2018,"Animation, Adventure, Comedy"
Hunt for the Wilderpeople,7.9,101,2016,"Adventure, Comedy, Drama"
Captain Fantastic,7.9,118,2016,"Comedy, Drama"
Sing Street,7.9,106,2016,"Comedy, Drama, Music"
Thor: Ragnarok,7.9,130,2017,"Action, Adventure, Comedy"
Nightcrawler,7.9,117,2014,"Crime, Drama, Thriller"
Jojo Rabbit,7.9,108,2019,"Comedy, Drama, War"
Arrival,7.9,116,2016,"Drama, Sci-Fi"
Star Wars: Episode VII - The Force Awakens,7.9,138,2015,"Action, Adventure, Sci-Fi"
Before Midnight,7.9,109,2013,"Drama, Romance"
X-Men: Days of Future Past,7.9,132,2014,"Action, Adventure, Sci-Fi"
Bir Zamanlar Anadolu'da,7.9,157,2011,"Crime, Drama"
The Artist,7.9,100,2011,"Comedy, Drama, Romance"
Edge of Tomorrow,7.9,113,2014,"Action, Adventure, Sci-Fi"
Amour,7.9,127,2012,"Drama, Romance"
The Irishman,7.9,209,2019,"Biography, Crime, Drama"
Un prophète,7.9,155,2009,"Crime, Drama"
Moon,7.9,97,2009,"Drama, Mystery, Sci-Fi"
Låt den rätte komma in,7.9,114,2008,"Crime, Drama, Fantasy"
District 9,7.9,112,2009,"Action, Sci-Fi, Thriller"
The Wrestler,7.9,109,2008,"Drama, Sport"
Jab We Met,7.9,138,2007,"Comedy, Drama, Romance"
Boyhood,7.9,165,2014,Drama
"4 luni, 3 saptamâni si 2 zile",7.9,113,2007,Drama
Star Trek,7.9,127,2009,"Action, Adventure, Sci-Fi"
In Bruges,7.9,107,2008,"Comedy, Crime, Drama"
The Man from Earth,7.9,87,2007,"Drama, Fantasy, Mystery"
Letters from Iwo Jima,7.9,141,2006,"Action, Adventure, Drama"
The Fall,7.9,117,2006,"Adventure, Drama, Fantasy"
Life of Pi,7.9,127,2012,"Adventure, Drama, Fantasy"
Fantastic Mr. Fox,7.9,87,2009,"Animation, Adventure, Comedy"
C.R.A.Z.Y.,7.9,129,2005,"Comedy, Drama"
Les choristes,7.9,97,2004,"Drama, Music"
Iron Man,7.9,126,2008,"Action, Adventure, Sci-Fi"
Shaun of the Dead,7.9,99,2004,"Comedy, Horror"
Gegen die Wand,7.9,121,2004,"Drama, Romance"
Mystic River,7.9,138,2003,"Crime, Drama, Mystery"
Harry Potter and the Prisoner of Azkaban,7.9,142,2004,"Adventure, Family, Fantasy"
Ying xiong,7.9,120,2002,"Action, Adventure, History"
Hable con ella,7.9,112,2002,"Drama, Mystery, Romance"
No Man's Land,7.9,98,2001,"Comedy, Drama, War"
Cowboy Bebop: Tengoku no tobira,7.9,115,2001,"Animation, Action, Crime"
The Bourne Identity,7.9,119,2002,"Action, Mystery, Thriller"
Nueve reinas,7.9,114,2000,"Crime, Drama, Thriller"
Children of Men,7.9,109,2006,"Adventure, Drama, Sci-Fi"
Almost Famous,7.9,122,2000,"Adventure, Comedy, Drama"
Mulholland Dr.,7.9,147,2001,"Drama, Mystery, Thriller"
Toy Story 2,7.9,92,1999,"Animation, Adventure, Comedy"
Boogie Nights,7.9,155,1997,Drama
Mimi wo sumaseba,7.9,111,1995,"Animation, Drama, Family"
Once Were Warriors,7.9,102,1994,"Crime, Drama"
True Romance,7.9,119,1993,"Crime, Drama, Romance"
Trois couleurs: Bleu,7.9,94,1993,"Drama, Music, Mystery"
Jûbê ninpûchô,7.9,94,1993,"Animation, Action, Adventure"
Carlito's Way,7.9,144,1993,"Crime, Drama, Thriller"
Edward Scissorhands,7.9,105,1990,"Drama, Fantasy, Romance"
My Left Foot: The Story of Christy Brown,7.9,103,1989,"Biography, Drama"
Crimes and Misdemeanors,7.9,104,1989,"Comedy, Drama"
The Untouchables,7.9,119,1987,"Crime, Drama, Thriller"
Hannah and Her Sisters,7.9,107,1986,"Comedy, Drama"
Brazil,7.9,132,1985,"Drama, Sci-Fi"
This Is Spinal Tap,7.9,82,1984,"Comedy, Music"
A Christmas Story,7.9,93,1983,"Comedy, Family"
The Blues Brothers,7.9,133,1980,"Action, Adventure, Comedy"
Manhattan,7.9,96,1979,"Comedy, Drama, Romance"
All That Jazz,7.9,123,1979,"Drama, Music, Musical"
Dawn of the Dead,7.9,127,1978,"Action, Adventure, Horror"
All the President's Men,7.9,138,1976,"Biography, Drama, History"
La montaña sagrada,7.9,114,1973,"Adventure, Drama, Fantasy"
Amarcord,7.9,123,1973,"Comedy, Drama, Family"
Le charme discret de la bourgeoisie,7.9,102,1972,Comedy
"Aguirre, der Zorn Gottes",7.9,95,1972,"Action, Adventure, Biography"
Harold and Maude,7.9,91,1971,"Comedy, Drama, Romance"
Patton,7.9,172,1970,"Biography, Drama, War"
The Wild Bunch,7.9,145,1969,"Action, Adventure, Western"
Night of the Living Dead,7.9,96,1968,"Horror, Thriller"
The Lion in Winter,7.9,134,1968,"Biography, Drama, History"
In the Heat of the Night,7.9,110,1967,"Crime, Drama, Mystery"
Charade,7.9,113,1963,"Comedy, Mystery, Romance"
The Manchurian Candidate,7.9,126,1962,"Drama, Thriller"
Spartacus,7.9,197,1960,"Adventure, Biography, Drama"
L'avventura,7.9,144,1960,"Drama, Mystery"
Hiroshima mon amour,7.9,90,1959,"Drama, Romance"
The Ten Commandments,7.9,220,1956,"Adventure, Drama"
The Searchers,7.9,119,1956,"Adventure, Drama, Western"
East of Eden,7.9,118,1955,Drama
High Noon,7.9,85,1952,"Drama, Thriller, Western"
Strangers on a Train,7.9,101,1951,"Crime, Film-Noir, Thriller"
Harvey,7.9,104,1950,"Comedy, Drama, Fantasy"
Miracle on 34th Street,7.9,96,1947,"Comedy, Drama, Family"
Notorious,7.9,102,1946,"Drama, Film-Noir, Romance"
The Big Sleep,7.9,114,1946,"Crime, Film-Noir, Mystery"
The Lost Weekend,7.9,101,1945,"Drama, Film-Noir"
The Philadelphia Story,7.9,112,1940,"Comedy, Romance"
His Girl Friday,7.9,92,1940,"Comedy, Drama, Romance"
The Adventures of Robin Hood,7.9,102,1938,"Action, Adventure, Romance"
A Night at the Opera,7.9,96,1935,"Comedy, Music, Musical"
King Kong,7.9,100,1933,"Adventure, Horror, Sci-Fi"
Freaks,7.9,64,1932,"Drama, Horror"
Nosferatu,7.9,94,1922,"Fantasy, Horror"
The Gentlemen,7.8,113,2019,"Action, Comedy, Crime"
Raazi,7.8,138,2018,"Action, Drama, Thriller"
Sound of Metal,7.8,120,2019,"Drama, Music"
Forushande,7.8,124,2016,Drama
Dunkirk,7.8,106,2017,"Action, Drama, History"
Perfetti sconosciuti,7.8,96,2016,"Comedy, Drama"
Hidden Figures,7.8,127,2016,"Biography, Drama, History"
Paddington 2,7.8,103,2017,"Adventure, Comedy, Family"
Udta Punjab,7.8,148,2016,"Action, Crime, Drama"
Kubo and the Two Strings,7.8,101,2016,"Animation, Action, Adventure"
M.S. Dhoni: The Untold Story,7.8,184,2016,"Biography, Drama, Sport"
Manchester by the Sea,7.8,137,2016,Drama
Under sandet,7.8,100,2015,"Drama, History, War"
Rogue One,7.8,133,2016,"Action, Adventure, Sci-Fi"
Captain America: Civil War,7.8,147,2016,"Action, Adventure, Sci-Fi"
The Hateful Eight,7.8,168,2015,"Crime, Drama, Mystery"
Little Women,7.8,135,2019,"Drama, Romance"
Loving Vincent,7.8,94,2017,"Animation, Biography, Crime"
Pride,7.8,119,2014,"Biography, Comedy, Drama"
Le passé,7.8,130,2013,"Drama, Mystery"
La grande bellezza,7.8,141,2013,Drama
The Lunchbox,7.8,104,2013,"Drama, Romance"
Vicky Donor,7.8,126,2012,"Comedy, Romance"
Big Hero 6,7.8,102,2014,"Animation, Action, Adventure"
About Time,7.8,123,2013,"Comedy, Drama, Fantasy"
English Vinglish,7.8,134,2012,"Comedy, Drama, Family"
Kaze tachinu,7.8,126,2013,"Animation, Biography, Drama"
Toy Story 4,7.8,100,2019,"Animation, Adventure, Comedy"
La migliore offerta,7.8,131,2013,"Crime, Drama, Mystery"
Moonrise Kingdom,7.8,94,2012,"Comedy, Drama, Romance"
How to Train Your Dragon 2,7.8,102,2014,"Animation, Action, Adventure"
The Big Short,7.8,130,2015,"Biography, Comedy, Drama"
Kokuhaku,7.8,106,2010,"Drama, Thriller"
Ang-ma-reul bo-at-da,7.8,144,2010,"Action, Crime, Drama"
The Girl with the Dragon Tattoo,7.8,158,2011,"Crime, Drama, Mystery"
Captain Phillips,7.8,134,2013,"Adventure, Biography, Crime"
Ajeossi,7.8,119,2010,"Action, Crime, Drama"
Straight Outta Compton,7.8,147,2015,"Biography, Drama, History"
Madeo,7.8,129,2009,"Crime, Drama, Mystery"
Chugyeokja,7.8,125,2008,"Action, Crime, Thriller"
The Hobbit: The Desolation of Smaug,7.8,161,2013,"Adventure, Fantasy"
Das weiße Band - Eine deutsche Kindergeschichte,7.8,144,2009,"Drama, History, Mystery"
Män som hatar kvinnor,7.8,152,2009,"Crime, Drama, Mystery"
The Trial of the Chicago 7,7.8,129,2020,"Drama, History, Thriller"
Druk,7.8,117,2020,"Comedy, Drama"
The Fighter,7.8,116,2010,"Biography, Drama, Sport"
Taken,7.8,90,2008,"Action, Thriller"
The Boy in the Striped Pyjamas,7.8,94,2008,"Drama, History, War"
Once,7.8,86,2007,"Drama, Music, Romance"
The Hobbit: An Unexpected Journey,7.8,169,2012,"Adventure, Fantasy"
Auf der anderen Seite,7.8,122,2007,Drama
Atonement,7.8,123,2007,"Drama, Mystery, Romance"
Drive,7.8,100,2011,"Crime, Drama"
American Gangster,7.8,157,2007,"Biography, Crime, Drama"
Avatar,7.8,162,2009,"Action, Adventure, Fantasy"
Mr. Nobody,7.8,141,2009,"Drama, Fantasy, Romance"
Apocalypto,7.8,139,2006,"Action, Adventure, Drama"
Little Miss Sunshine,7.8,101,2006,"Comedy, Drama"
Hot Fuzz,7.8,121,2007,"Action, Comedy, Mystery"
The Curious Case of Benjamin Button,7.8,166,2008,"Drama, Fantasy, Romance"
Veer-Zaara,7.8,192,2004,"Drama, Family, Musical"
Adams æbler,7.8,94,2005,"Comedy, Crime, Drama"
Pride & Prejudice,7.8,129,2005,"Drama, Romance"
The World's Fastest Indian,7.8,127,2005,"Biography, Drama, Sport"
Tôkyô goddofâzâzu,7.8,90,2003,"Animation, Adventure, Comedy"
Serenity,7.8,119,2005,"Action, Adventure, Sci-Fi"
Walk the Line,7.8,136,2005,"Biography, Drama, Music"
Ondskan,7.8,113,2003,Drama
The Notebook,7.8,123,2004,"Drama, Romance"
Diarios de motocicleta,7.8,126,2004,"Adventure, Biography, Drama"
Lilja 4-ever,7.8,109,2002,"Crime, Drama"
Les triplettes de Belleville,7.8,80,2003,"Animation, Comedy, Drama"
Gongdong gyeongbi guyeok JSA,7.8,110,2000,"Action, Drama, Thriller"
The Count of Monte Cristo,7.8,131,2002,"Action, Adventure, Drama"
Waking Life,7.8,99,2001,"Animation, Drama, Fantasy"
Remember the Titans,7.8,113,2000,"Biography, Drama, Sport"
Wo hu cang long,7.8,120,2000,"Action, Adventure, Fantasy"
Todo sobre mi madre,7.8,101,1999,Drama
Cast Away,7.8,143,2000,"Adventure, Drama, Romance"
The Boondock Saints,7.8,108,1999,"Action, Crime, Thriller"
The Insider,7.8,157,1999,"Biography, Drama, Thriller"
October Sky,7.8,108,1999,"Biography, Drama, Family"
Shrek,7.8,90,2001,"Animation, Adventure, Comedy"
Titanic,7.8,194,1997,"Drama, Romance"
Hana-bi,7.8,103,1997,"Crime, Drama, Romance"
Gattaca,7.8,106,1997,"Drama, Sci-Fi, Thriller"
The Game,7.8,129,1997,"Action, Drama, Mystery"
Breaking the Waves,7.8,159,1996,Drama
Ed Wood,7.8,127,1994,"Biography, Comedy, Drama"
What's Eating Gilbert Grape,7.8,118,1993,Drama
Tombstone,7.8,130,1993,"Action, Biography, Drama"
The Sandlot,7.8,101,1993,"Comedy, Drama, Family"
The Remains of the Day,7.8,134,1993,"Drama, Romance"
Naked,7.8,132,1993,"Comedy, Drama"
The Fugitive,7.8,130,1993,"Action, Crime, Drama"
A Bronx Tale,7.8,121,1993,"Crime, Drama, Romance"
Batman: Mask of the Phantasm,7.8,76,1993,"Animation, Action, Crime"
Lat sau san taam,7.8,128,1992,"Action, Crime, Thriller"
Night on Earth,7.8,129,1991,"Comedy, Drama"
La double vie de Véronique,7.8,98,1991,"Drama, Fantasy, Music"
Boyz n the Hood,7.8,112,1991,"Crime, Drama"
Misery,7.8,107,1990,"Drama, Thriller"
Awakenings,7.8,121,1990,"Biography, Drama"
Majo no takkyûbin,7.8,103,1989,"Animation, Adventure, Drama"
Glory,7.8,122,1989,"Biography, Drama, History"
Dip huet seung hung,7.8,111,1989,"Action, Crime, Drama"
Back to the Future Part II,7.8,108,1989,"Adventure, Comedy, Sci-Fi"
Mississippi Burning,7.8,128,1988,"Crime, Drama, History"
Predator,7.8,107,1987,"Action, Adventure, Sci-Fi"
Evil Dead II,7.8,84,1987,"Action, Comedy, Fantasy"
Ferris Bueller's Day Off,7.8,103,1986,Comedy
Down by Law,7.8,107,1986,"Comedy, Crime, Drama"
The Goonies,7.8,114,1985,"Adventure, Comedy, Family"
The Color Purple,7.8,154,1985,Drama
The Breakfast Club,7.8,97,1985,"Comedy, Drama"
The Killing Fields,7.8,141,1984,"Biography, Drama, History"
Ghostbusters,7.8,105,1984,"Action, Comedy, Fantasy"
The Right Stuff,7.8,193,1983,"Adventure, Biography, Drama"
The King of Comedy,7.8,109,1982,"Comedy, Crime, Drama"
E.T. the Extra-Terrestrial,7.8,115,1982,"Family, Sci-Fi"
Kramer vs. Kramer,7.8,105,1979,Drama
Days of Heaven,7.8,94,1978,"Drama, Romance"
The Outlaw Josey Wales,7.8,135,1976,Western
The Man Who Would Be King,7.8,129,1975,"Adventure, History, War"
The Conversation,7.8,113,1974,"Drama, Mystery, Thriller"
La planète sauvage,7.8,72,1973,"Animation, Sci-Fi"
The Day of the Jackal,7.8,143,1973,"Crime, Drama, Thriller"
Badlands,7.8,94,1973,"Action, Crime, Drama"
Cabaret,7.8,124,1972,"Drama, Music, Musical"
Willy Wonka & the Chocolate Factory,7.8,100,1971,"Family, Fantasy, Musical"
Midnight Cowboy,7.8,113,1969,Drama
Wait Until Dark,7.8,108,1967,Thriller
Guess Who's Coming to Dinner,7.8,108,1967,"Comedy, Drama"
Bonnie and Clyde,7.8,111,1967,"Action, Biography, Crime"
My Fair Lady,7.8,170,1964,"Drama, Family, Musical"
Mary Poppins,7.8,139,1964,"Comedy, Family, Fantasy"
The Longest Day,7.8,178,1962,"Action, Drama, History"
Jules et Jim,7.8,105,1962,"Drama, Romance"
The Innocents,7.8,100,1961,Horror
À bout de souffle,7.8,90,1960,"Crime, Drama"
Red River,7.8,133,1948,"Action, Adventure, Drama"
Key Largo,7.8,100,1948,"Action, Crime, Drama"
To Have and Have Not,7.8,100,1944,"Adventure, Comedy, Film-Noir"
Shadow of a Doubt,7.8,108,1943,"Film-Noir, Thriller"
Stagecoach,7.8,96,1939,"Adventure, Drama, Western"
The Lady Vanishes,7.8,96,1938,"Mystery, Thriller"
Bringing Up Baby,7.8,102,1938,"Comedy, Family, Romance"
Bride of Frankenstein,7.8,75,1935,"Drama, Horror, Sci-Fi"
Duck Soup,7.8,69,1933,"Comedy, Musical, War"
Scarface: The Shame of the Nation,7.8,93,1932,"Action, Crime, Drama"
Frankenstein,7.8,70,1931,"Drama, Horror, Sci-Fi"
Roma,7.7,135,2018,Drama
God's Own Country,7.7,104,2017,"Drama, Romance"
Deadpool 2,7.7,119,2018,"Action, Adventure, Comedy"
Wind River,7.7,107,2017,"Crime, Drama, Mystery"
Get Out,7.7,104,2017,"Horror, Mystery, Thriller"
Mission: Impossible - Fallout,7.7,147,2018,"Action, Adventure, Thriller"
En man som heter Ove,7.7,116,2015,"Comedy, Drama, Romance"
What We Do in the Shadows,7.7,86,2014,"Comedy, Horror"
Omoide no Mânî,7.7,103,2014,"Animation, Drama, Family"
The Theory of Everything,7.7,123,2014,"Biography, Drama, Romance"
Kingsman: The Secret Service,7.7,129,2014,"Action, Adventure, Comedy"
The Fault in Our Stars,7.7,126,2014,"Drama, Romance"
Me and Earl and the Dying Girl,7.7,105,2015,"Comedy, Drama"
Birdman or (The Unexpected Virtue of Ignorance),7.7,119,2014,"Comedy, Drama"
La vie d'Adèle,7.7,180,2013,"Drama, Romance"
Kai po che!,7.7,130,2013,"Drama, Sport"
The Broken Circle Breakdown,7.7,111,2012,"Drama, Music, Romance"
Captain America: The Winter Soldier,7.7,136,2014,"Action, Adventure, Sci-Fi"
Rockstar,7.7,159,2011,"Drama, Music, Musical"
Nebraska,7.7,115,2013,"Adventure, Comedy, Drama"
Wreck-It Ralph,7.7,101,2012,"Animation, Adventure, Comedy"
Le Petit Prince,7.7,108,2015,"Animation, Adventure, Drama"
Detachment,7.7,98,2011,Drama
Midnight in Paris,7.7,96,2011,"Comedy, Fantasy, Romance"
The Lego Movie,7.7,100,2014,"Animation, Action, Adventure"
Gravity,7.7,91,2013,"Drama, Sci-Fi, Thriller"
Star Trek Into Darkness,7.7,132,2013,"Action, Adventure, Sci-Fi"
Beasts of No Nation,7.7,137,2015,"Drama, War"
The Social Network,7.7,120,2010,"Biography, Drama"
X: First Class,7.7,131,2011,"Action, Adventure, Sci-Fi"
The Hangover,7.7,100,2009,Comedy
Skyfall,7.7,143,2012,"Action, Adventure, Thriller"
Silver Linings Playbook,7.7,122,2012,"Comedy, Drama, Romance"
Argo,7.7,120,2012,"Biography, Drama, Thriller"
(500) Days of Summer,7.7,95,2009,"Comedy, Drama, Romance"
Harry Potter and the Deathly Hallows: Part 1,7.7,146,2010,"Adventure, Family, Fantasy"
Gake no ue no Ponyo,7.7,101,2008,"Animation, Adventure, Comedy"
Frost/Nixon,7.7,122,2008,"Biography, Drama, History"
Papurika,7.7,90,2006,"Animation, Drama, Fantasy"
Changeling,7.7,141,2008,"Biography, Crime, Drama"
Flipped,7.7,90,2010,"Comedy, Drama, Romance"
Toki o kakeru shôjo,7.7,98,2006,"Animation, Adventure, Comedy"
Death Note: Desu nôto,7.7,126,2006,"Crime, Drama, Fantasy"
This Is England,7.7,101,2006,"Crime, Drama"
Ex Machina,7.7,108,2014,"Drama, Sci-Fi, Thriller"
Efter brylluppet,7.7,120,2006,Drama
The Last King of Scotland,7.7,123,2006,"Biography, Drama, History"
Zodiac,7.7,157,2007,"Crime, Drama, Mystery"
Lucky Number Slevin,7.7,110,2006,"Action, Crime, Drama"
Joyeux Noël,7.7,116,2005,"Drama, History, Music"
Control,7.7,122,2007,"Biography, Drama, Music"
Tangled,7.7,100,2010,"Animation, Adventure, Comedy"
Zwartboek,7.7,145,2006,"Drama, Thriller, War"
Brokeback Mountain,7.7,134,2005,"Drama, Romance"
3:10 to Yuma,7.7,122,2007,"Action, Crime, Drama"
Crash,7.7,112,2004,"Crime, Drama, Thriller"
Kung fu,7.7,99,2004,"Action, Comedy, Fantasy"
The Bourne Supremacy,7.7,108,2004,"Action, Mystery, Thriller"
The Machinist,7.7,101,2004,"Drama, Thriller"
Ray,7.7,152,2004,"Biography, Drama, Music"
Lost in Translation,7.7,102,2003,"Comedy, Drama"
Harry Potter and the Goblet of Fire,7.7,157,2005,"Adventure, Family, Fantasy"
Man on Fire,7.7,146,2004,"Action, Crime, Drama"
Coraline,7.7,100,2009,"Animation, Drama, Family"
The Last Samurai,7.7,154,2003,"Action, Drama"
The Magdalene Sisters,7.7,114,2002,Drama
Good Bye Lenin!,7.7,121,2003,"Comedy, Drama, Romance"
In America,7.7,105,2002,Drama
I Am Sam,7.7,132,2001,Drama
Adaptation.,7.7,115,2002,"Comedy, Drama"
Black Hawk Down,7.7,144,2001,"Drama, History, War"
Road to Perdition,7.7,117,2002,"Crime, Drama, Thriller"
Das Experiment,7.7,120,2001,"Drama, Thriller"
Billy Elliot,7.7,110,2000,"Drama, Music"
Hedwig and the Angry Inch,7.7,95,2001,"Comedy, Drama, Music"
Ocean's Eleven,7.7,116,2001,"Crime, Thriller"
Vampire Hunter D: Bloodlust,7.7,103,2000,"Animation, Action, Fantasy"
"O Brother, Where Art Thou?",7.7,107,2000,"Adventure, Comedy, Crime"
Interstate 60: Episodes of the Road,7.7,116,2002,"Adventure, Comedy, Drama"
"South Park: Bigger, Longer & Uncut",7.7,81,1999,"Animation, Comedy, Fantasy"
Office Space,7.7,89,1999,Comedy
Happiness,7.7,134,1998,"Comedy, Drama"
Training Day,7.7,122,2001,"Crime, Drama, Thriller"
Rushmore,7.7,93,1998,"Comedy, Drama, Romance"
Abre los ojos,7.7,119,1997,"Drama, Mystery, Sci-Fi"
Being John Malkovich,7.7,113,1999,"Comedy, Drama, Fantasy"
As Good as It Gets,7.7,139,1997,"Comedy, Drama, Romance"
The Fifth Element,7.7,126,1997,"Action, Adventure, Sci-Fi"
Le dîner de cons,7.7,80,1998,Comedy
Donnie Brasco,7.7,127,1997,"Biography, Crime, Drama"
Shine,7.7,105,1996,"Biography, Drama, Music"
Primal Fear,7.7,129,1996,"Crime, Drama, Mystery"
Hamlet,7.7,242,1996,Drama
A Little Princess,7.7,97,1995,"Drama, Family, Fantasy"
Do lok tin si,7.7,99,1995,"Comedy, Crime, Drama"
Il postino,7.7,108,1994,"Biography, Comedy, Drama"
Clerks,7.7,92,1994,Comedy
Short Cuts,7.7,188,1993,"Comedy, Drama"
Philadelphia,7.7,125,1993,Drama
The Muppet Christmas Carol,7.7,85,1992,"Comedy, Drama, Family"
Malcolm X,7.7,202,1992,"Biography, Drama, History"
The Last of the Mohicans,7.7,112,1992,"Action, Adventure, Drama"
Kurenai no buta,7.7,94,1992,"Animation, Adventure, Comedy"
Glengarry Glen Ross,7.7,100,1992,"Crime, Drama, Mystery"
A Few Good Men,7.7,138,1992,"Drama, Thriller"
Fried Green Tomatoes,7.7,130,1991,Drama
Barton Fink,7.7,116,1991,"Comedy, Drama, Thriller"
Miller's Crossing,7.7,115,1990,"Crime, Drama, Thriller"
Who Framed Roger Rabbit,7.7,104,1988,"Animation, Adventure, Comedy"
Spoorloos,7.7,107,1988,"Mystery, Thriller"
Withnail & I,7.7,107,1987,"Comedy, Drama"
The Last Emperor,7.7,163,1987,"Biography, Drama, History"
Empire of the Sun,7.7,153,1987,"Action, Drama, History"
Der Name der Rose,7.7,130,1986,"Crime, Drama, Mystery"
Blue Velvet,7.7,120,1986,"Drama, Mystery, Thriller"
The Purple Rose of Cairo,7.7,82,1985,"Comedy, Fantasy, Romance"
After Hours,7.7,97,1985,"Comedy, Crime, Drama"
Zelig,7.7,79,1983,Comedy
The Verdict,7.7,129,1982,Drama
Star Trek II: The Wrath of Khan,7.7,113,1982,"Action, Adventure, Sci-Fi"
First Blood,7.7,93,1982,"Action, Adventure"
Ordinary People,7.7,124,1980,Drama
Airplane!,7.7,88,1980,Comedy
Rupan sansei: Kariosutoro no shiro,7.7,100,1979,"Animation, Adventure, Family"
Halloween,7.7,91,1978,"Horror, Thriller"
Le locataire,7.7,126,1976,"Drama, Thriller"
Love and Death,7.7,85,1975,"Comedy, War"
The Taking of Pelham One Two Three,7.7,104,1974,"Action, Crime, Thriller"
Blazing Saddles,7.7,93,1974,"Comedy, Western"
Serpico,7.7,130,1973,"Biography, Crime, Drama"
Enter the Dragon,7.7,102,1973,"Action, Crime, Drama"
Deliverance,7.7,109,1972,"Adventure, Drama, Thriller"
The French Connection,7.7,104,1971,"Action, Crime, Drama"
Dirty Harry,7.7,102,1971,"Action, Crime, Thriller"
Where Eagles Dare,7.7,158,1968,"Action, Adventure, War"
The Odd Couple,7.7,105,1968,Comedy
The Dirty Dozen,7.7,150,1967,"Action, Adventure, War"
Belle de jour,7.7,100,1967,"Drama, Romance"
A Man for All Seasons,7.7,120,1966,"Biography, Drama, History"
Repulsion,7.7,105,1965,"Drama, Horror, Thriller"
Zulu,7.7,138,1964,"Drama, History, War"
Goldfinger,7.7,110,1964,"Action, Adventure, Thriller"
The Birds,7.7,119,1963,"Drama, Horror, Mystery"
Cape Fear,7.7,106,1962,"Drama, Thriller"
Peeping Tom,7.7,101,1960,"Drama, Horror, Thriller"
The Magnificent Seven,7.7,128,1960,"Action, Adventure, Western"
Les yeux sans visage,7.7,90,1960,"Drama, Horror"
Invasion of the Body Snatchers,7.7,80,1956,"Drama, Horror, Sci-Fi"
Rebel Without a Cause,7.7,111,1955,Drama
The Ladykillers,7.7,91,1955,"Comedy, Crime"
Sabrina,7.7,113,1954,"Comedy, Drama, Romance"
The Quiet Man,7.7,129,1952,"Comedy, Drama, Romance"
The Day the Earth Stood Still,7.7,92,1951,"Drama, Sci-Fi"
The African Queen,7.7,105,1951,"Adventure, Drama, Romance"
Gilda,7.7,110,1946,"Drama, Film-Noir, Romance"
Fantasia,7.7,125,1940,"Animation, Family, Fantasy"
The Invisible Man,7.7,71,1933,"Horror, Sci-Fi"
Dark Waters,7.6,126,2019,"Biography, Drama, History"
Searching,7.6,102,2018,"Drama, Mystery, Thriller"
Once Upon a Time... in Hollywood,7.6,161,2019,"Comedy, Drama"
Nelyubov,7.6,127,2017,Drama
The Florida Project,7.6,111,2017,Drama
Just Mercy,7.6,137,2019,"Biography, Crime, Drama"
Gifted,7.6,101,2017,Drama
The Peanut Butter Falcon,7.6,97,2019,"Adventure, Comedy, Drama"
Victoria,7.6,138,2015,"Crime, Drama, Romance"
Mustang,7.6,97,2015,Drama
Guardians of the Galaxy Vol. 2,7.6,136,2017,"Action, Adventure, Comedy"
Baby Driver,7.6,113,2017,"Action, Crime, Drama"
Only the Brave,7.6,134,2017,"Action, Biography, Drama"
Bridge of Spies,7.6,142,2015,"Drama, History, Thriller"
Incredibles 2,7.6,118,2018,"Animation, Action, Adventure"
Moana,7.6,107,2016,"Animation, Adventure, Comedy"
Sicario,7.6,121,2015,"Action, Crime, Drama"
Creed,7.6,133,2015,"Drama, Sport"
Leviafan,7.6,140,2014,"Crime, Drama"
Hell or High Water,7.6,102,2016,"Action, Crime, Drama"
Philomena,7.6,98,2013,"Biography, Comedy, Drama"
Dawn of the Planet of the Apes,7.6,130,2014,"Action, Adventure, Drama"
El cuerpo,7.6,112,2012,"Mystery, Thriller"
Serbuan maut,7.6,101,2011,"Action, Thriller"
End of Watch,7.6,109,2012,"Action, Crime, Drama"
Kari-gurashi no Arietti,7.6,94,2010,"Animation, Adventure, Family"
A Star Is Born,7.6,136,2018,"Drama, Music, Romance"
True Grit,7.6,110,2010,"Drama, Western"
Hævnen,7.6,118,2010,"Drama, Romance"
Despicable Me,7.6,95,2010,"Animation, Comedy, Crime"
50/50,7.6,100,2011,"Comedy, Drama, Romance"
Kick-Ass,7.6,117,2010,"Action, Comedy, Crime"
Celda 211,7.6,113,2009,"Action, Adventure, Crime"
Moneyball,7.6,133,2011,"Biography, Drama, Sport"
La piel que habito,7.6,120,2011,"Drama, Horror, Thriller"
Zombieland,7.6,88,2009,"Adventure, Comedy, Fantasy"
Die Welle,7.6,107,2008,"Drama, Thriller"
Sherlock Holmes,7.6,128,2009,"Action, Adventure, Mystery"
The Blind Side,7.6,129,2009,"Biography, Drama, Sport"
The Visitor,7.6,104,2007,Drama
Seven Pounds,7.6,123,2008,Drama
Eastern Promises,7.6,100,2007,"Action, Crime, Drama"
Stardust,7.6,127,2007,"Adventure, Family, Fantasy"
The Secret of Kells,7.6,71,2009,"Animation, Adventure, Family"
Inside Man,7.6,129,2006,"Crime, Drama, Mystery"
Gone Baby Gone,7.6,114,2007,"Crime, Drama, Mystery"
