Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
Idi i smotri,8.3,142,1985,"Drama, Thriller, War"
Aliens,8.3,137,1986,"Action, Adventure, Sci-Fi"
Amadeus,8.3,160,1984,"Biography, Drama, History"
Scarface,8.3,170,1983,"Crime, Drama"
Star Wars: Episode VI - Return of the Jedi,8.3,131,1983,"Action, Adventure, Fantasy"
Das Boot,8.3,149,1981,"Adventure, Drama, Thriller"
Taxi Driver,8.3,114,1976,"Crime, Drama"
The Sting,8.3,129,1973,"Comedy, Crime, Drama"
A Clockwork Orange,8.3,136,1971,"Crime, Drama, Sci-Fi"
2001: A Space Odyssey,8.3,149,1968,"Adventure, Sci-Fi"
Per qualche dollaro in più,8.3,132,1965,Western
Lawrence of Arabia,8.3,228,1962,"Adventure, Biography, Drama"
The Apartment,8.3,125,1960,"Comedy, Drama, Romance"
North by Northwest,8.3,136,1959,"Adventure, Mystery, Thriller"
Vertigo,8.3,128,1958,"Mystery, Romance, Thriller"
Singin' in the Rain,8.3,103,1952,"Comedy, Musical, Romance"
Ikiru,8.3,143,1952,Drama
Ladri di biciclette,8.3,89,1948,Drama
Double Indemnity,8.3,107,1944,"Crime, Drama, Film-Noir"
Citizen Kane,8.3,119,1941,"Drama, Mystery"
M - Eine Stadt sucht einen Mörder,8.3,117,1931,"Crime, Mystery, Thriller"
Metropolis,8.3,153,1927,"Drama, Sci-Fi"
The Kid,8.3,68,1921,"Comedy, Drama, Family"
Chhichhore,8.2,143,2019,"Comedy, Drama"
Uri: The Surgical Strike,8.2,138,2018,"Action, Drama, War"
K.G.F: Chapter 1,8.2,156,2018,"Action, Drama"
Green Book,8.2,130,2018,"Biography, Comedy, Drama"
"Three Billboards Outside Ebbing, Missouri",8.2,115,2017,"Comedy, Crime, Drama"
Talvar,8.2,132,2015,"Crime, Drama, Mystery"
Baahubali 2: The Conclusion,8.2,167,2017,"Action, Drama"
Klaus,8.2,96,2019,"Animation, Adventure, Comedy"
Drishyam,8.2,163,2015,"Crime, Drama, Mystery"
Queen,8.2,146,2013,"Adventure, Comedy, Drama"
Mandariinid,8.2,87,2013,"Drama, War"
Bhaag Milkha Bhaag,8.2,186,2013,"Biography, Drama, Sport"
Gangs of Wasseypur,8.2,321,2012,"Action, Comedy, Crime"
Udaan,8.2,134,2010,Drama
Paan Singh Tomar,8.2,135,2012,"Action, Biography, Crime"
El secreto de sus ojos,8.2,129,2009,"Drama, Mystery, Romance"
Warrior,8.2,140,2011,"Action, Drama, Sport"
Shutter Island,8.2,138,2010,"Mystery, Thriller"
Up,8.2,96,2009,"Animation, Adventure, Comedy"
The Wolf of Wall Street,8.2,180,2013,"Biography, Crime, Drama"
Chak De! India,8.2,153,2007,"Drama, Family, Sport"
There Will Be Blood,8.2,158,2007,Drama
Pan's Labyrinth,8.2,118,2006,"Drama, Fantasy, War"
Toy Story 3,8.2,103,2010,"Animation, Adventure, Comedy"
V for Vendetta,8.2,132,2005,"Action, Drama, Sci-Fi"
Rang De Basanti,8.2,167,2006,"Comedy, Crime, Drama"
Black,8.2,122,2005,Drama
Batman Begins,8.2,140,2005,"Action, Adventure"
"Swades: We, the People",8.2,210,2004,Drama
Der Untergang,8.2,156,2004,"Biography, Drama, History"
Hauru no ugoku shiro,8.2,119,2004,"Animation, Adventure, Family"
A Beautiful Mind,8.2,135,2001,"Biography, Drama"
Hera Pheri,8.2,156,2000,"Action, Comedy, Crime"
"Lock, Stock and Two Smoking Barrels",8.2,107,1998,"Action, Comedy, Crime"
L.A. Confidential,8.2,138,1997,"Crime, Drama, Mystery"
Eskiya,8.2,128,1996,"Crime, Drama, Thriller"
Heat,8.2,170,1995,"Crime, Drama, Thriller"
Casino,8.2,178,1995,"Crime, Drama"
Andaz Apna Apna,8.2,160,1994,"Action, Comedy, Romance"
Unforgiven,8.2,130,1992,"Drama, Western"
Indiana Jones and the Last Crusade,8.2,127,1989,"Action, Adventure"
Dom za vesanje,8.2,142,1988,"Comedy, Crime, Drama"
Tonari no Totoro,8.2,86,1988,"Animation, Family, Fantasy"
Die Hard,8.2,132,1988,"Action, Thriller"
Ran,8.2,162,1985,"Action, Drama, War"
Raging Bull,8.2,129,1980,"Biography, Drama, Sport"
Stalker,8.2,162,1979,"Drama, Sci-Fi"
Höstsonaten,8.2,99,1978,"Drama, Music"
The Message,8.2,177,1976,"Biography, Drama, History"
Sholay,8.2,204,1975,"Action, Adventure, Comedy"
Monty Python and the Holy Grail,8.2,91,1975,"Adventure, Comedy, Fantasy"
The Great Escape,8.2,172,1963,"Adventure, Drama, History"
To Kill a Mockingbird,8.2,129,1962,"Crime, Drama"
Yôjinbô,8.2,110,1961,"Action, Drama, Thriller"
Judgment at Nuremberg,8.2,179,1961,"Drama, War"
Some Like It Hot,8.2,121,1959,"Comedy, Music, Romance"
Smultronstället,8.2,91,1957,"Drama, Romance"
Det sjunde inseglet,8.2,96,1957,"Drama, Fantasy, History"
Du rififi chez les hommes,8.2,118,1955,"Crime, Drama, Thriller"
Dial M for Murder,8.2,105,1954,"Crime, Thriller"
Tôkyô monogatari,8.2,136,1953,Drama
Rashômon,8.2,88,1950,"Crime, Drama, Mystery"
All About Eve,8.2,138,1950,Drama
The Treasure of the Sierra Madre,8.2,126,1948,"Adventure, Drama, Western"
To Be or Not to Be,8.2,99,1942,"Comedy, War"
The Gold Rush,8.2,95,1925,"Adventure, Comedy, Drama"
Sherlock Jr.,8.2,45,1924,"Action, Comedy, Romance"
Portrait de la jeune fille en feu,8.1,122,2019,"Drama, Romance"
Pink,8.1,136,2016,"Drama, Thriller"
Koe no katachi,8.1,130,2016,"Animation, Drama, Family"
Contratiempo,8.1,106,2016,"Crime, Drama, Mystery"
Ah-ga-ssi,8.1,145,2016,"Drama, Romance, Thriller"
Mommy,8.1,139,2014,Drama
Haider,8.1,160,2014,"Action, Crime, Drama"
Logan,8.1,137,2017,"Action, Drama, Sci-Fi"
Room,8.1,118,2015,"Drama, Thriller"
Relatos salvajes,8.1,122,2014,"Comedy, Drama, Thriller"
Soul,8.1,100,2020,"Animation, Adventure, Comedy"
Kis Uykusu,8.1,196,2014,Drama
PK,8.1,153,2014,"Comedy, Drama, Musical"
OMG: Oh My God!,8.1,125,2012,"Comedy, Drama, Fantasy"
The Grand Budapest Hotel,8.1,99,2014,"Adventure, Comedy, Crime"
Gone Girl,8.1,149,2014,"Drama, Mystery, Thriller"
Ôkami kodomo no Ame to Yuki,8.1,117,2012,"Animation, Drama, Fantasy"
Hacksaw Ridge,8.1,139,2016,"Biography, Drama, History"
Inside Out,8.1,95,2015,"Animation, Adventure, Comedy"
Barfi!,8.1,151,2012,"Comedy, Drama, Romance"
12 Years a Slave,8.1,134,2013,"Biography, Drama, History"
Rush,8.1,123,2013,"Action, Biography, Drama"
Ford v Ferrari,8.1,152,2019,"Action, Biography, Drama"
Spotlight,8.1,129,2015,"Biography, Crime, Drama"
Song of the Sea,8.1,93,2014,"Animation, Adventure, Drama"
Kahaani,8.1,122,2012,"Mystery, Thriller"
Zindagi Na Milegi Dobara,8.1,155,2011,"Comedy, Drama"
Prisoners,8.1,153,2013,"Crime, Drama, Mystery"
Mad Max: Fury Road,8.1,120,2015,"Action, Adventure, Sci-Fi"
A Wednesday,8.1,104,2008,"Action, Crime, Drama"
Gran Torino,8.1,116,2008,Drama
Harry Potter and the Deathly Hallows: Part 2,8.1,130,2011,"Adventure, Drama, Fantasy"
Okuribito,8.1,130,2008,"Drama, Music"
Hachi: A Dog's Tale,8.1,93,2009,"Biography, Drama, Family"
Mary and Max,8.1,92,2009,"Animation, Comedy, Drama"
How to Train Your Dragon,8.1,98,2010,"Animation, Action, Adventure"
Into the Wild,8.1,148,2007,"Adventure, Biography, Drama"
No Country for Old Men,8.1,122,2007,"Crime, Drama, Thriller"
Lage Raho Munna Bhai,8.1,144,2006,"Comedy, Drama, Romance"
Million Dollar Baby,8.1,132,2004,"Drama, Sport"
Hotel Rwanda,8.1,121,2004,"Biography, Drama, History"
Taegukgi hwinalrimyeo,8.1,140,2004,"Action, Drama, War"
Before Sunset,8.1,80,2004,"Drama, Romance"
Munna Bhai M.B.B.S.,8.1,156,2003,"Comedy, Drama, Musical"
Salinui chueok,8.1,131,2003,"Crime, Drama, Mystery"
Dil Chahta Hai,8.1,183,2001,"Comedy, Drama, Romance"
Kill Bill: Vol. 1,8.1,111,2003,"Action, Crime, Drama"
Finding Nemo,8.1,100,2003,"Animation, Adventure, Comedy"
Catch Me If You Can,8.1,141,2002,"Biography, Crime, Drama"
Amores perros,8.1,154,2000,"Drama, Thriller"
"Monsters, Inc.",8.1,92,2001,"Animation, Adventure, Comedy"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,87,1997,"Animation, Action, Drama"
Lagaan: Once Upon a Time in India,8.1,224,2001,"Adventure, Drama, Musical"
The Sixth Sense,8.1,107,1999,"Drama, Mystery, Thriller"
La leggenda del pianista sull'oceano,8.1,169,1998,"Drama, Music, Romance"
The Truman Show,8.1,103,1998,"Comedy, Drama"
"Crna macka, beli macor",8.1,127,1998,"Comedy, Crime, Romance"
The Big Lebowski,8.1,117,1998,"Comedy, Crime, Sport"
Fa yeung nin wah,8.1,98,2000,"Drama, Romance"
Trainspotting,8.1,93,1996,Drama
Fargo,8.1,98,1996,"Crime, Drama, Thriller"
Underground,8.1,170,1995,"Comedy, Drama, War"
